drugbank_id,interactant_id,action
DB01320,BE0000530,other/unknown
DB01320,BE0000537,substrate
DB01324,BE0000530,binder
DB01327,BE0000530,other/unknown
DB01328,BE0000530,other/unknown
DB01329,BE0000530,other/unknown
DB01359,BE0000925,other/unknown
DB01364,BE0000530,binder
DB01380,BE0000209,binder
DB01380,BE0000530,binder
DB01384,BE0000209,binder
DB01394,BE0000530,binder
DB01406,BE0000685,antagonist
DB01410,BE0000209,binder
DB01420,BE0000685,substrate
DB01420,BE0000530,substrate
DB01436,BE0001141,substrate
DB01436,BE0010059,binder
DB01452,BE0000537,inducer
DB01583,BE0000537,substrate
DB01591,BE0004879,binder
DB01601,BE0000925,substrate
DB01601,BE0000530,substrate
DB01611,BE0000530,binder
DB01611,BE0004879,binder
DB01619,BE0000530,binder
DB01619,BE0000530,regulator
DB01627,BE0000925,binder
DB01629,BE0000537,inducer
DB01685,BE0000530,binder
DB01685,BE0000925,binder
DB01914,BE0000530,binder
DB04711,BE0000530,binder
DB04847,BE0000530,binder
DB04854,BE0000530,binder
DB04855,BE0000530,binder
DB04861,BE0000530,binder
DB04911,BE0000530,binder
DB04951,BE0000530,binder
DB05187,BE0000530,binder
DB05239,BE0000925,binder
DB05260,BE0000510,binder
DB05294,BE0000925,binder
DB05294,BE0000530,binder
DB05382,BE0000530,binder
DB05382,BE0009873,binder
DB05521,BE0000530,substrate
DB05521,BE0000925,substrate
DB05812,BE0000530,binder
DB05812,BE0000925,binder
DB06119,BE0000530,binder
DB06150,BE0000530,substrate
DB06151,BE0000530,binder
DB06201,BE0000530,substrate
DB06209,BE0000530,substrate
DB06215,BE0000510,binder
DB06216,BE0000530,binder
DB06216,BE0004879,binder
DB06234,BE0000530,binder
DB06234,BE0000925,binder
DB06237,BE0000530,binder
DB06237,BE0000925,binder
DB06282,BE0000530,binder
DB06288,BE0010007,binder
DB06290,BE0000530,binder
DB06480,BE0000530,binder
DB06636,BE0000530,binder
DB06655,BE0000530,binder
DB06695,BE0000530,binder
DB06705,BE0000530,substrate
DB06716,BE0000530,substrate
DB06755,BE0004020,substrate
DB06755,BE0000301,substrate
DB06755,BE0000505,substrate
DB06755,BE0000255,substrate
DB06755,BE0000314,substrate
DB06755,BE0000682,substrate
DB06757,BE0000510,binder
DB06757,BE0000530,binder
DB06757,BE0001140,binder
DB06772,BE0000530,binder
DB06772,BE0000499,binder
DB06772,BE0004020,binder
DB06772,BE0010226,binder
DB06784,BE0000510,binder
DB06784,BE0000994,binder
DB06784,BE0000085,binder
DB06784,BE0000399,binder
DB06796,BE0000910,binder
DB06796,BE0000530,binder
DB06813,BE0000530,binder
DB07565,BE0000530,binder
DB08804,BE0000685,binder
DB08814,BE0000530,substrate
DB08816,BE0000530,binder
DB08820,BE0000530,carrier
DB08820,BE0000925,carrier
DB08822,BE0000530,binder
DB08828,BE0000530,binder
DB08828,BE0000925,binder
DB08860,BE0000530,substrate
DB08860,BE0000925,substrate
DB08864,BE0000530,binder
DB08865,BE0000530,binder
DB08865,BE0004879,binder
DB08867,BE0000530,substrate
DB08867,BE0000925,substrate
DB08877,BE0000530,binder
DB08881,BE0000530,substrate
DB08881,BE0000925,substrate
DB08893,BE0000530,binder
DB08893,BE0000925,binder
DB08899,BE0000530,binder
DB08903,BE0000530,binder
DB08903,BE0000925,binder
DB08906,BE0000209,binder
DB08906,BE0000530,binder
DB08906,BE0000925,binder
DB08907,BE0000925,substrate
DB08912,BE0000530,binder
DB08930,BE0000530,binder
DB08930,BE0004879,binder
DB08931,BE0000530,substrate
DB08931,BE0000925,substrate
DB08932,BE0000530,binder
DB08932,BE0004879,binder
DB08936,BE0000530,regulator
DB08984,BE0000537,substrate
DB08995,BE0000530,binder
DB09053,BE0000530,substrate
DB09053,BE0004879,substrate
DB09069,BE0000530,binder
DB09070,BE0000530,binder
DB09073,BE0000530,binder
DB09074,BE0000530,binder
DB09074,BE0000925,binder
DB09076,BE0000530,binder
DB09076,BE0000925,binder
DB09079,BE0000530,substrate
DB09087,BE0000530,binder
DB09100,BE0000530,binder
DB09100,BE0000337,binder
DB09100,BE0000537,binder
DB09124,BE0000530,binder
DB09124,BE0000685,binder
DB09124,BE0000209,binder
DB09128,BE0000530,substrate
DB09128,BE0000925,substrate
DB09130,BE0000530,binder
DB09130,BE0000910,binder
DB09130,BE0001140,binder
DB09130,BE0002833,binder
DB09130,BE0005815,binder
DB09130,BE0008686,binder
DB09130,BE0008687,binder
DB09130,BE0000041,binder
DB09130,BE0000016,binder
DB09130,BE0008688,binder
DB09139,BE0000530,binder
DB09140,BE0000629,binder
DB09140,BE0000130,binder
DB09160,BE0001032,binder
DB09195,BE0000530,substrate
DB09204,BE0000530,substrate
DB09204,BE0000925,substrate
DB09223,BE0000530,substrate
DB09229,BE0000530,binder
DB09229,BE0000925,binder
DB09236,BE0000530,binder
DB09236,BE0000925,binder
DB09237,BE0000530,binder
DB09241,BE0000530,binder
DB09256,BE0000537,inducer
DB09262,BE0000530,substrate
DB09262,BE0004879,substrate
DB09270,BE0000499,substrate
DB09270,BE0004020,substrate
DB09274,BE0000530,binder
DB09280,BE0000530,carrier
DB09299,BE0000530,binder
DB09317,BE0000537,inducer
DB09318,BE0000537,inducer
DB09333,BE0000530,substrate
DB09347,BE0000530,binder
DB09348,BE0000530,binder
DB09381,BE0000537,inducer
DB09418,BE0000530,binder
DB09555,BE0003648,substrate
DB09555,BE0003648,inhibitor
DB09555,BE0003647,inhibitor
DB09564,BE0000530,binder
DB09568,BE0000935,binder
DB09568,BE0001179,binder
DB11093,BE0008690,substrate
DB11093,BE0004083,substrate
DB11093,BE0000530,substrate
DB11100,BE0000537,substrate
DB11130,BE0000530,binder
DB11130,BE0003777,binder
DB11134,BE0000530,binder
DB11134,BE0001140,binder
DB11136,BE0000510,binder
DB11148,BE0000925,substrate
DB11148,BE0000530,substrate
DB11182,BE0000530,binder
DB11182,BE0000994,binder
DB11182,BE0000510,binder
DB11221,BE0009358,binder
DB11251,BE0004020,binder
DB11251,BE0000499,binder
DB11348,BE0008690,substrate
DB11348,BE0004083,substrate
DB11348,BE0000530,substrate
DB11575,BE0000530,substrate
DB11575,BE0000925,substrate
DB11637,BE0000530,substrate
DB11637,BE0000925,substrate
DB11641,BE0000530,substrate
DB11641,BE0004879,substrate
DB11642,BE0000530,binder
DB11642,BE0000925,binder
DB11677,BE0000530,binder
DB11689,BE0000530,carrier
DB11689,BE0004879,carrier
DB11703,BE0000530,binder
DB11703,BE0004879,binder
DB11718,BE0000530,binder
DB11739,BE0000530,binder
DB11739,BE0000925,binder
DB11751,BE0000530,binder
DB11753,BE0000530,substrate
DB11757,BE0000530,binder
DB11757,BE0004879,binder
DB11793,BE0000530,binder
DB11796,BE0000530,carrier
DB11800,BE0000530,binder
DB11820,BE0000530,binder
DB11827,BE0000530,binder
DB11828,BE0000530,substrate
DB11828,BE0004879,substrate
DB11853,BE0000530,binder
DB11853,BE0000925,binder
