drugbank_id,interactant_id,name,organism,known_action
DB13944,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB13946,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB13946,BE0003645,Organic anion transporter 3,Humans,unknown
DB13946,BE0003646,Solute carrier family 22 member 7,Humans,unknown
DB13946,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13946,BE0003644,Hepatic sodium/bile acid cotransporter,Humans,unknown
DB13946,BE0000757,Solute carrier family 22 member 4,Humans,unknown
DB13946,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB13946,BE0003647,Solute carrier family 22 member 2,Humans,unknown
DB13946,BE0003657,Multidrug and toxin extrusion protein 1,Humans,unknown
DB13946,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,unknown
DB13951,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13952,BE0003647,Solute carrier family 22 member 2,Humans,unknown
DB13952,BE0003648,Solute carrier family 22 member 1,Humans,unknown
DB13952,BE0003650,Solute carrier family 22 member 3,Humans,unknown
DB13952,BE0001042,Solute carrier organic anion transporter family member 2B1,Humans,unknown
DB13952,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB13952,BE0003651,ATP-binding cassette sub-family C member 10,Humans,unknown
DB13952,BE0000879,Solute carrier family 22 member 11,Humans,unknown
DB13952,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB13952,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown
DB13952,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13952,BE0003645,Organic anion transporter 3,Humans,unknown
DB13952,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,unknown
DB13952,BE0003660,Solute carrier organic anion transporter family member 1C1,Humans,unknown
DB13952,BE0003656,Solute carrier organic anion transporter family member 4A1,Humans,unknown
DB13953,BE0003647,Solute carrier family 22 member 2,Humans,unknown
DB13953,BE0003648,Solute carrier family 22 member 1,Humans,unknown
DB13953,BE0003650,Solute carrier family 22 member 3,Humans,unknown
DB13953,BE0001042,Solute carrier organic anion transporter family member 2B1,Humans,unknown
DB13953,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB13953,BE0003651,ATP-binding cassette sub-family C member 10,Humans,unknown
DB13953,BE0000879,Solute carrier family 22 member 11,Humans,unknown
DB13953,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB13953,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown
DB13953,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13953,BE0003645,Organic anion transporter 3,Humans,unknown
DB13953,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,unknown
DB13953,BE0003660,Solute carrier organic anion transporter family member 1C1,Humans,unknown
DB13953,BE0003656,Solute carrier organic anion transporter family member 4A1,Humans,unknown
DB13954,BE0003647,Solute carrier family 22 member 2,Humans,unknown
DB13954,BE0003648,Solute carrier family 22 member 1,Humans,unknown
DB13954,BE0003650,Solute carrier family 22 member 3,Humans,unknown
DB13954,BE0001042,Solute carrier organic anion transporter family member 2B1,Humans,unknown
DB13954,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB13954,BE0003651,ATP-binding cassette sub-family C member 10,Humans,unknown
DB13954,BE0000879,Solute carrier family 22 member 11,Humans,unknown
DB13954,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB13954,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown
DB13954,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13954,BE0003645,Organic anion transporter 3,Humans,unknown
DB13954,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,unknown
DB13954,BE0003660,Solute carrier organic anion transporter family member 1C1,Humans,unknown
DB13954,BE0003656,Solute carrier organic anion transporter family member 4A1,Humans,unknown
DB13955,BE0003647,Solute carrier family 22 member 2,Humans,unknown
DB13955,BE0003648,Solute carrier family 22 member 1,Humans,unknown
DB13955,BE0003650,Solute carrier family 22 member 3,Humans,unknown
DB13955,BE0001042,Solute carrier organic anion transporter family member 2B1,Humans,unknown
DB13955,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB13955,BE0003651,ATP-binding cassette sub-family C member 10,Humans,unknown
DB13955,BE0000879,Solute carrier family 22 member 11,Humans,unknown
DB13955,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB13955,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown
DB13955,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13955,BE0003645,Organic anion transporter 3,Humans,unknown
DB13955,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,unknown
DB13955,BE0003660,Solute carrier organic anion transporter family member 1C1,Humans,unknown
DB13955,BE0003656,Solute carrier organic anion transporter family member 4A1,Humans,unknown
DB13956,BE0003647,Solute carrier family 22 member 2,Humans,unknown
DB13956,BE0003648,Solute carrier family 22 member 1,Humans,unknown
DB13956,BE0003650,Solute carrier family 22 member 3,Humans,unknown
DB13956,BE0001042,Solute carrier organic anion transporter family member 2B1,Humans,unknown
DB13956,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB13956,BE0003651,ATP-binding cassette sub-family C member 10,Humans,unknown
DB13956,BE0000879,Solute carrier family 22 member 11,Humans,unknown
DB13956,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB13956,BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown
DB13956,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13956,BE0003645,Organic anion transporter 3,Humans,unknown
