drugbank_id,reaction_id,enzyme_drugbank_id,uniprot_id
DB06695,DB06695_rxn_2,BE0002705,P23141
DB06695,DB06695_rxn_3,BE0004712,O00748
DB06697,DB06697_rxn_4,BE0002638,P08684
DB06697,DB06697_rxn_4,BE0002362,P20815
DB06698,DB06698_rxn_0,BE0004909,P21397
DB06700,DB06700_rxn_2,BE0003541,P22309
DB06700,DB06700_rxn_2,BE0003677,P35503
DB06700,DB06700_rxn_2,BE0003681,P06133
DB06700,DB06700_rxn_2,BE0004696,P54855
DB06700,DB06700_rxn_2,BE0003680,O75795
DB06700,DB06700_rxn_4,BE0002638,P08684
DB06700,DB06700_rxn_4,BE0003536,P33261
DB06701,DB06701_rxn_2,BE0004740,Q6LAP9
DB06708,DB06708_rxn_0,BE0002638,P08684
DB06725,DB06725_rxn_0,BE0002793,P11712
DB06726,DB06726_rxn_0,BE0002433,P05177
DB06726,DB06726_rxn_0,BE0002363,P10635
DB06726,DB06726_rxn_1,BE0002433,P05177
DB06726,DB06726_rxn_1,BE0002363,P10635
DB06726,DB06726_rxn_2,BE0002363,P10635
DB06728,DB06728_rxn_0,BE0003533,P05181
DB06728,DB06728_rxn_1,BE0003533,P05181
DB06736,DB06736_rxn_0,BE0002793,P11712
DB06736,DB06736_rxn_1,BE0002793,P11712
DB06736,DB06736_rxn_3,BE0002793,P11712
DB06736,DB06736_rxn_4,BE0000017,P23219
DB06737,DB06737_rxn_0,BE0002793,P11712
DB06737,DB06737_rxn_1,BE0002793,P11712
DB06737,DB06737_rxn_2,BE0003679,P16662
DB06737,DB06737_rxn_3,BE0002793,P11712
DB06737,DB06737_rxn_4,BE0000017,P23219
DB06738,DB06738_rxn_0,BE0000017,P23219
DB06738,DB06738_rxn_1,BE0000017,P23219
DB06738,DB06738_rxn_2,BE0002793,P11712
DB06738,DB06738_rxn_2,BE0002638,P08684
DB06738,DB06738_rxn_3,BE0000017,P23219
DB06739,DB06739_rxn_0,BE0003536,P33261
DB06739,DB06739_rxn_0,BE0002793,P11712
DB06739,DB06739_rxn_0,BE0002887,P10632
DB06739,DB06739_rxn_0,BE0002638,P08684
DB06739,DB06739_rxn_0,BE0003549,P20813
DB06739,DB06739_rxn_1,BE0003536,P33261
DB06739,DB06739_rxn_1,BE0002793,P11712
DB06739,DB06739_rxn_1,BE0002887,P10632
DB06739,DB06739_rxn_2,BE0002793,P11712
DB06739,DB06739_rxn_2,BE0002638,P08684
DB06739,DB06739_rxn_2,BE0002887,P10632
DB06739,DB06739_rxn_2,BE0003536,P33261
DB06739,DB06739_rxn_2,BE0003549,P20813
DB06739,DB06739_rxn_3,BE0002887,P10632
DB06739,DB06739_rxn_3,BE0003536,P33261
DB06739,DB06739_rxn_3,BE0002793,P11712
DB06739,DB06739_rxn_4,BE0003538,O60656
DB06739,DB06739_rxn_5,BE0000017,P23219
DB06741,DB06741_rxn_0,BE0002793,P11712
DB06741,DB06741_rxn_1,BE0002793,P11712
DB06741,DB06741_rxn_2,BE0003541,P22309
DB06741,DB06741_rxn_2,BE0003677,P35503
DB06741,DB06741_rxn_2,BE0003538,O60656
DB06741,DB06741_rxn_2,BE0003681,P06133
DB06755,DB06755_rxn_0,BE0009340,Q9HAY6
DB06756,DB06756_rxn_0,BE0000845,Q93088
DB06769,DB06769_rxn_0,BE0002433,P05177
DB06769,DB06769_rxn_1,BE0002433,P05177
DB06772,DB06772_rxn_0,BE0002638,P08684
DB06772,DB06772_rxn_0,BE0002362,P20815
DB06772,DB06772_rxn_0,BE0002887,P10632
DB06772,DB06772_rxn_1,BE0002638,P08684
DB06772,DB06772_rxn_1,BE0002362,P20815
DB06772,DB06772_rxn_1,BE0002887,P10632
DB06772,DB06772_rxn_2,BE0002638,P08684
DB06772,DB06772_rxn_2,BE0002362,P20815
DB06772,DB06772_rxn_2,BE0002887,P10632
DB06824,DB06824_rxn_0,BE0000111,P21673
DB06824,DB06824_rxn_1,BE0000111,P21673
DB07129,DB07129_rxn_0,BE0002433,P05177
DB07129,DB07129_rxn_0,BE0002363,P10635
DB07129,DB07129_rxn_1,BE0002433,P05177
DB07129,DB07129_rxn_1,BE0002363,P10635
DB07129,DB07129_rxn_2,BE0002433,P05177
DB07129,DB07129_rxn_2,BE0002363,P10635
DB07129,DB07129_rxn_3,BE0002433,P05177
DB07129,DB07129_rxn_3,BE0003549,P20813
DB07129,DB07129_rxn_3,BE0003533,P05181
DB07919,DB07919_rxn_0,BE0002363,P10635
DB07919,DB07919_rxn_0,BE0002793,P11712
DB07919,DB07919_rxn_0,BE0003536,P33261
